Remaining Edges,Average Shortest Path
4745,993.9880646739415
4744,993.9935905090364
4743,994.0753986967197
4742,994.0769834783717
4741,994.2630186388254
4740,994.2762734580241
4739,994.2778843555188
4738,994.2960632258614
4737,994.3259628695198
4736,994.3259628695198
4735,994.4713320968215
4734,994.5776106627293
4733,994.8123714525047
4732,994.8287009478743
4731,995.1814141078403
4730,995.3041240548082
4729,995.3077748337238
4728,995.3420636199213
4727,995.3920568149173
4726,995.5146066918559
4725,995.5177408583876
4724,995.6090006370674
4723,995.61815186399
4722,995.6760613520865
4721,995.6760613520865
4720,995.7113802580831
4719,995.7372918208915
4718,995.7372918208915
4717,995.7450657490292
4716,995.8134016015207
4715,995.8625845896843
4714,995.8625845896843
4713,995.9944749393437
4712,995.9963256566023
4711,995.9963256566023
4710,996.0557784859558
4709,996.0701977934431
4708,996.1804672196356
4707,996.3899286572984
4706,996.3941231050125
4705,996.4212400985693
4704,996.7702331602451
4703,996.7702331602451
4702,997.0875506471596
4701,997.0955441923275
4700,997.146994769679
4699,997.1674776159194
4698,997.1991817900425
4697,997.2016404191794
4696,997.3069703099189
4695,997.4105128520832
4694,997.4105128520832
4693,997.4466381793678
4692,997.5737333482062
4691,997.8755934675229
4690,997.9093129862139
4689,997.9560923846682
4688,997.9560923846682
4687,997.9700473229417
4686,998.1883663724776
4685,998.2427961745677
4684,998.4333890183507
4683,998.4820678754791
4682,998.5069975140178
4681,998.6700444344253
4680,998.6814227705537
4679,998.825579207543
4678,998.8276145364406
4677,998.8470825665809
4676,998.8470825665809
4675,999.1500001126061
4674,999.2912420172496
4673,999.2961292737621
4672,999.3472667993922
4671,999.3579708874686
4670,999.376491319856
4669,999.4797586479391
4668,999.6199202820666
4667,999.6230906283822
4666,999.8159539887855
4665,999.9099082518173
4664,999.9099082518173
4663,1000.0733394243928
4662,1000.087154529027
4661,1000.087154529027
4660,1000.1365219054404
4659,1000.8310272323797
4658,1000.8310272323797
4657,1000.8310272323797
4656,1000.9510908089389
4655,1000.9899927155125
4654,1001.1578611570147
4653,1001.5586336816648
4652,1001.5730401744001
4651,1001.5730401744001
4650,1001.5730401744001
4649,1002.024448072356
4648,1002.7514550031889
4647,1002.808484654983
4646,1002.808484654983
4645,1002.9888596265306
4644,1002.9888596265306
4643,1003.0297272418461
4642,1003.0297272418461
4641,1003.1067101918023
4640,1003.1928740641208
4639,1003.2245070024087
4638,1003.237456802756
4637,1003.237456802756
4636,1003.281899830441
4635,1003.3348506507408
4634,1003.3348506507408
4633,1003.3985816429772
4632,1003.5035753654056
4631,1003.6657373163131
4630,1003.6657373163131
4629,1003.669436898453
4628,1003.7774701987296
4627,1003.8094805279428
4626,1003.8741104887829
4625,1004.5905337296491
4624,1004.5905337296491
4623,1004.6116705569445
4622,1004.900843958208
4621,1004.9940753076455
4620,1005.305216826594
4619,1005.305216826594
4618,1005.3149874861188
4617,1005.7355681083403
4616,1005.9349135881038
4615,1006.0934883156302
4614,1006.0959172082103
4613,1006.2121505622682
4612,1006.5062188550437
4611,1006.5062188550437
4610,1006.58820916438
4609,1006.6029265691155
4608,1006.6029265691155
4607,1007.0556214168618
4606,1007.0619328211211
4605,1007.1728862589405
4604,1007.2351569643752
4603,1007.2396532471568
4602,1007.3656358424635
4601,1007.4164271561773
4600,1007.5258363841157
4599,1007.5438184157334
4598,1007.5706972208826
4597,1007.5706972208826
4596,1007.9431118395493
4595,1007.966682332194
4594,1007.966682332194
4593,1007.966682332194
4592,1008.0131944624727
4591,1008.0209380007337
4590,1008.031277377552
4589,1008.2784018398675
4588,1008.2784018398675
4587,1008.3813765472075
4586,1008.5811680778903
4585,1008.6956655474909
4584,1008.7993620638549
4583,1009.001275240203
4582,1009.1202069931422
4581,1009.1202069931422
4580,1009.1290109842722
4579,1009.3003304071332
4578,1009.3543848089479
4577,1009.363118019724
4576,1009.3843403348859
4575,1009.398455314685
4574,1009.4211967373803
4573,1009.4211967373803
4572,1009.773366457272
4571,1009.8687673535993
4570,1010.0552476783689
4569,1010.0628124573574
4568,1010.6651832497187
4567,1010.8492417326141
4566,1010.8577802775932
4565,1010.9193723810499
4564,1010.9193723810499
4563,1011.1839264979697
4562,1011.1988391113717
4561,1011.7065054632302
4560,1011.7065054632302
4559,1011.868207377401
4558,1011.8716079649323
4557,1011.8775150454642
4556,1012.0734548765975
4555,1012.0879847067571
4554,1012.0985352277517
4553,1012.4023841326109
4552,1012.524327139359
4551,1012.6659229638217
4550,1012.701291143459
4549,1012.7702471034963
4548,1013.1021743165543
4547,1013.656034091418
4546,1014.4250318286917
4545,1014.4325364043722
4544,1014.4325364043722
4543,1014.4971820975386
4542,1014.7230380458201
4541,1014.9844510387385
4540,1015.1274192216545
4539,1015.1509993877867
4538,1015.1952498415457
4537,1015.3237022648286
4536,1015.3441791844068
4535,1015.3441791844068
4534,1015.3981717671597
4533,1015.4299535994645
4532,1015.4337042607474
4531,1015.4524909878742
4530,1015.569980783488
4529,1015.569980783488
4528,1015.9453960339007
4527,1015.9453960339007
4526,1016.0444492545037
4525,1016.0444492545037
4524,1016.4015920738233
4523,1016.643414261993
4522,1016.760532061604
4521,1016.891923201343
4520,1017.2343984162853
4519,1017.2765607340974
4518,1017.5223223439215
4517,1017.528408491135
4516,1017.6183110953482
4515,1017.9498284336248
4514,1017.9867663174475
4513,1018.1773593581563
4512,1018.2334263654212
4511,1018.2975244548352
4510,1018.3787413127324
4509,1018.3787413127324
4508,1018.3897892409719
4507,1018.5296445516394
4506,1018.6112413825574
4505,1018.6213931859633
4504,1018.6213931859633
4503,1018.668139671038
4502,1018.7932984860598
4501,1018.9601498127386
4500,1019.0503731115599
4499,1019.3914617128629
4498,1019.8795179599199
4497,1019.9200553761214
4496,1019.9602214421485
4495,1019.9638330873009
4494,1020.1999875800838
4493,1020.2034065353998
4492,1020.2619884421031
4491,1020.2717119247795
4490,1020.2970189616863
4489,1020.3010003861871
4488,1020.3048898576665
4487,1020.3048898576665
4486,1020.3079118340117
4485,1020.319489270914
4484,1020.319489270914
4483,1020.363277357973
4482,1020.363277357973
4481,1020.5608588393474
4480,1020.8822734215912
4479,1020.909225625758
4478,1021.0974276499041
4477,1021.1661795783751
4476,1021.2994337053406
4475,1021.4451475978511
4474,1021.4451475978511
4473,1021.46255826028
4472,1021.46255826028
