Remaining Edges,Average Shortest Path
4762,989.1853902642081
4761,989.20965453152
4760,989.2201118782805
4759,989.4223845000662
4758,989.482875792367
4757,989.6472416677877
4756,989.7195903473756
4755,989.739707343479
4754,989.739707343479
4753,989.739707343479
4752,989.739707343479
4751,990.0239985809789
4750,990.1948487179078
4749,990.2205733644894
4748,990.3738355589983
4747,990.3738355589983
4746,990.3782762672568
4745,990.4940230290631
4744,991.1535973160301
4743,991.1535973160301
4742,991.1569644097073
4741,991.1844493666113
4740,991.2784722575373
4739,991.3209631465195
4738,991.3822752719161
4737,991.5439936651774
4736,991.6450995374115
4735,991.6835048609595
4734,991.6835048609595
4733,992.1824720379135
4732,992.2469904630236
4731,992.258497166976
4730,992.3261518150126
4729,992.328882530923
4728,992.4724660319368
4727,992.4724660319368
4726,992.5166021586897
4725,992.5203486593484
4724,992.819821348873
4723,993.3864097208215
4722,993.4835164754888
4721,993.4835164754888
4720,993.5897823403192
4719,993.7782615585779
4718,993.7782615585779
4717,993.8252346408428
4716,993.8252346408428
4715,994.0473954889645
4714,994.0505383112312
4713,994.0527900121937
4712,994.0527900121937
4711,994.3010626968473
4710,994.3010626968473
4709,994.4009136171146
4708,994.7314481025635
4707,994.8549126814426
4706,994.8549126814426
4705,994.8549126814426
4704,994.9126904580786
4703,995.4726566801324
4702,996.0573040360938
4701,996.0788379619522
4700,996.0902261856837
4699,996.4401543625174
4698,996.4401543625174
4697,996.6704649496862
4696,996.6704649496862
4695,996.6704649496862
4694,996.7723192007879
4693,996.7723192007879
4692,996.7723192007879
4691,996.8505254317847
4690,996.8670045169989
4689,996.882257013716
4688,996.9013697600436
4687,997.3052568455668
4686,997.4571270408226
4685,997.4848858413476
4684,997.5142100848441
4683,997.5173853762437
4682,997.5497532684961
4681,997.5932357763348
4680,997.6189748718087
4679,997.6189748718087
4678,998.0076353929916
4677,998.0600416543616
4676,998.0600416543616
4675,998.1414072271376
4674,998.3714216923023
4673,998.4390267767996
4672,998.4758283149249
4671,998.4982664130042
4670,998.5869219183095
4669,998.5926671493569
4668,998.7335951269843
4667,998.7572783297612
4666,998.7573090643841
4665,998.8334964763467
4664,998.8775166583072
4663,998.8813371534508
4662,998.885985108365
4661,999.0034845581079
4660,999.0959121265824
4659,999.2799411763741
4658,999.4029068712262
4657,999.4525506663481
4656,999.4624645860059
4655,999.477362425048
4654,999.4780765469751
4653,999.7106083100391
4652,999.7149188707834
4651,999.7185610661176
4650,999.7341558139443
4649,999.8115580328986
4648,999.8348833504175
4647,999.8519874541428
4646,1000.0404698187456
4645,1000.1261626344899
4644,1000.1261626344899
4643,1000.1349560238829
4642,1000.1882309943564
4641,1000.3323432082873
4640,1000.3323432082873
4639,1000.4052084772009
4638,1000.879435493461
4637,1001.0768326472352
4636,1001.0951381246454
4635,1001.2658285710075
4634,1001.3155713838783
4633,1001.4992307521168
4632,1001.7515519882553
4631,1001.7578288567855
4630,1001.8295967799677
4629,1001.950051237037
4628,1001.9716260546201
4627,1002.142043682033
4626,1002.1526914051067
4625,1002.1571036587061
4624,1002.1571036587061
4623,1002.1706482060051
4622,1002.3044423175461
4621,1002.5798497924569
4620,1002.6276750895308
4619,1002.6375404390185
4618,1002.872852751846
4617,1003.2424501105119
4616,1003.3581463136036
4615,1003.5915793240929
4614,1003.7377319312953
4613,1003.818040906295
4612,1003.8240695024534
4611,1003.8323828700445
4610,1003.8405516018312
4609,1003.8435700179705
4608,1003.8604140187211
4607,1003.9301577160288
4606,1003.9354588935354
4605,1004.0371363554822
4604,1004.0531487897707
4603,1004.0792481945903
4602,1004.162952316545
4601,1004.2706078094816
4600,1004.7414826076376
4599,1004.7414826076376
4598,1004.7414826076376
4597,1004.9161041465542
4596,1005.0244053296427
4595,1005.1289988076554
4594,1005.2906832720688
4593,1005.8038454295825
4592,1005.8050294754795
4591,1005.8323283642169
4590,1005.8323283642169
4589,1005.901485555133
4588,1006.0333852970543
4587,1006.549701652699
4586,1006.5563290819733
4585,1006.5563290819733
4584,1006.7329775628638
4583,1006.7329775628638
4582,1007.1018797764013
4581,1008.1132163627608
4580,1008.2830098865944
4579,1008.7992503921868
4578,1008.9329589448881
4577,1008.9470954734697
4576,1009.6892927314988
4575,1009.7056575336022
4574,1009.7056575336022
4573,1009.7101855104319
4572,1009.717368956036
4571,1009.8163662744512
4570,1010.4138961904306
4569,1010.535628251934
4568,1010.549117311378
4567,1010.8644744495821
4566,1011.0335757679438
4565,1011.0335757679438
4564,1011.0711407151671
4563,1011.1152220979174
4562,1011.1813887496695
4561,1011.2743310507341
4560,1011.3271724619964
4559,1011.3596649590958
4558,1011.8183001593907
4557,1011.8381910723425
4556,1011.9397656003754
4555,1011.9397656003754
4554,1011.9397656003754
4553,1012.1109577957722
4552,1012.1254205562028
4551,1012.1479967170688
4550,1012.1598878267625
4549,1012.1650195319515
4548,1012.1650195319515
4547,1012.5393957318139
4546,1012.5434364879186
4545,1012.5484949309554
4544,1012.5796724692214
4543,1012.5796724692214
4542,1013.2823835476654
4541,1013.2969262634557
4540,1013.3040848344181
4539,1013.3296578204051
4538,1013.5388181566387
4537,1013.5453367528361
4536,1013.5557884662533
4535,1013.5611194120223
4534,1013.9283079922459
4533,1014.2682487060052
4532,1014.2723951552408
4531,1014.7135981933153
4530,1014.8015180506982
4529,1014.8015180506982
4528,1014.877644445306
4527,1014.8900409609721
4526,1015.4251529736725
4525,1015.6484283930763
4524,1015.6743736889503
4523,1015.6743736889503
4522,1015.6913451842221
4521,1015.8338699592119
4520,1015.8899576885676
4519,1016.4391911280459
4518,1016.6395787836227
4517,1016.6692008730662
4516,1016.858826356582
4515,1016.858826356582
4514,1016.8647527262085
4513,1016.9202590674465
4512,1016.9223736722512
4511,1016.9223736722512
4510,1016.9446440795018
4509,1016.9446440795018
4508,1017.0095218884401
4507,1017.0192492585301
4506,1017.2865840765143
4505,1017.3838536224043
4504,1017.5185679723844
4503,1017.5266183001477
4502,1017.7562761149852
4501,1017.9375549796913
4500,1017.9549479345752
4499,1018.027695813889
4498,1018.2218922626025
4497,1018.2218922626025
4496,1018.4898293019127
4495,1018.4923629326445
4494,1018.6760528389541
4493,1018.6845557470846
4492,1018.6845557470846
4491,1018.7709291134139
4490,1018.8394592384919
4489,1018.8752186139563
4488,1018.8752186139563
4487,1018.8841208172187
4486,1018.9880507026794
4485,1018.9914761962862
4484,1019.0354943995355
4483,1019.1928580177741
4482,1019.2577229641856
4481,1019.2661308285423
4480,1019.2677973426257
4479,1019.3317434088033
4478,1019.3317434088033
4477,1019.333230104536
4476,1019.3729234733178
4475,1019.374187496304
4474,1019.4809189716542
4473,1019.4809189716542
4472,1019.5397712920294
4471,1019.7016634906771
4470,1019.7901769523274
4469,1019.8415355742615
4468,1020.0515749161996
4467,1020.1007475856344
4466,1020.206940612619
4465,1020.2729451558123
4464,1020.6695294676965
4463,1021.1323993905198
4462,1021.1323993905198
4461,1021.1537495408744
4460,1021.1602774706798
4459,1021.3570777397259
4458,1021.3570777397259
4457,1021.3980891100138
4456,1021.5205734508738
4455,1021.5356196019595
4454,1021.5823887408307
4453,1021.6681354317418
4452,1021.9102292732197
4451,1022.0679412288714
4450,1022.1893493515801
4449,1022.1893493515801
4448,1022.3095540200354
4447,1022.3565188324093
4446,1022.5306358021965
4445,1022.7464921631465
4444,1023.0516321139744
4443,1023.0516321139744
4442,1023.0516321139744
4441,1023.0516321139744
4440,1023.0638905237669
4439,1023.0638905237669
4438,1023.0638905237669
4437,1023.0829283166277
4436,1023.0829283166277
4435,1023.1977046254949
4434,1023.1977046254949
4433,1023.252327469047
4432,1023.2901537670355
4431,1023.4154742039434
4430,1023.4312400796089
4429,1023.4998766954376
4428,1023.6714687305197
4427,1023.8109367054442
4426,1023.9894715491366
4425,1024.1038925797397
4424,1024.1095361289235
4423,1024.4877142828052
4422,1024.4963036269933
4421,1024.5117767919348
4420,1024.5117767919348
4419,1024.6252622575255
4418,1025.1423102011677
4417,1025.191129524703
4416,1025.2440481272365
4415,1025.2708087148449
4414,1025.3555313489933
4413,1025.3941228868077
4412,1025.395596306808
4411,1025.4444343371085
4410,1025.4444343371085
4409,1025.46671829185
4408,1025.46671829185
4407,1025.472321401853
4406,1025.472321401853
4405,1025.5907937283596
4404,1025.656746803492
4403,1025.656746803492
4402,1025.656746803492
4401,1025.7292441150798
4400,1025.739331347313
4399,1026.0264424451636
4398,1026.225043387319
4397,1026.4795336456123
4396,1026.601414346493
4395,1026.601414346493
4394,1026.6515798113862
4393,1026.8990661349028
4392,1027.2143212080882
4391,1027.2685909146003
4390,1027.2685909146003
4389,1027.2826057963105
4388,1027.2973649126557
4387,1027.2973649126557
4386,1027.2973649126557
4385,1027.4388965997853
4384,1027.4981587356137
4383,1027.573186388931
4382,1027.5793633802175
4381,1027.5922990186125
4380,1027.6233279529424
4379,1027.635800163178
4378,1027.8476028022585
4377,1027.9391141676858
4376,1027.9696943663482
4375,1028.0477112808321
4374,1028.2377934464903
4373,1028.2632752193408
4372,1028.371793638617
4371,1028.3761993571507
4370,1028.6683375320345
4369,1028.6714889762154
4368,1028.6714889762154
4367,1028.6714889762154
4366,1028.6855368290933
4365,1028.776157723908
4364,1028.776157723908
4363,1028.776157723908
4362,1028.7769534828196
4361,1028.97306380283
4360,1028.9976072581185
4359,1029.5821837631922
4358,1029.5821837631922
4357,1029.824927088783
4356,1029.834286108744
4355,1029.834286108744
4354,1029.834286108744
4353,1029.884818461609
4352,1029.8879891646889
4351,1030.1349412996608
4350,1030.1666020813086
4349,1030.2622415854803
4348,1030.36333311091
4347,1030.36333311091
4346,1030.562475041737
4345,1030.8952333951256
4344,1031.0981936578742
4343,1031.149379534297
4342,1031.775751922045
4341,1031.8696829975709
4340,1031.8836873204943
4339,1032.3626618213143
4338,1032.6243124232308
4337,1032.9836034724035
4336,1032.9862596631413
4335,1033.0845827339974
4334,1033.4138321049688
4333,1033.4291212419537
4332,1033.4291212419537
4331,1033.5235189012062
4330,1033.526343644896
4329,1033.526343644896
4328,1033.5442187518474
4327,1033.6038861021805
4326,1034.1794198942
4325,1034.1794198942
4324,1034.242718759518
4323,1034.242718759518
4322,1034.2525460910488
4321,1034.3199147753312
4320,1034.3199147753312
4319,1034.3620192629182
4318,1034.3620192629182
4317,1034.4806557250738
4316,1034.481276621465
4315,1034.6589746900088
4314,1034.7500299472845
4313,1035.1147482419335
4312,1035.1147482419335
4311,1035.1147482419335
4310,1035.1302598810476
4309,1035.2178415076262
4308,1035.2845802905758
4307,1035.309274627739
4306,1035.3564345525806
4305,1036.1802000839873
4304,1036.573120789876
4303,1036.7180440145275
4302,1036.7234318603018
4301,1036.8521667674213
4300,1036.9007268586024
4299,1036.9007268586024
4298,1037.0294378089297
4297,1037.0465350657385
4296,1037.0905256045057
4295,1037.0905256045057
4294,1037.1126631950656
4293,1037.1161452422787
4292,1037.1381397820142
4291,1037.1501865969283
4290,1037.5784948149824
4289,1037.7977728324925
4288,1037.821885871513
4287,1037.8921757253868
4286,1037.9915818172012
4285,1038.0590960417487
4284,1038.257977808517
4283,1038.6968015999835
4282,1038.9461074069673
4281,1039.0487369197865
4280,1039.1723051612487
4279,1039.2478329995652
4278,1039.577992176665
4277,1039.577992176665
4276,1039.5868328964798
4275,1039.6367386773813
4274,1039.7456564811987
4273,1039.896036360818
4272,1040.0492580769558
4271,1040.0536095022048
4270,1040.2880400991958
4269,1040.291820237852
4268,1040.299127613409
4267,1040.299127613409
4266,1040.341343793477
4265,1040.9077848131212
4264,1040.9135689191553
4263,1041.5007683409158
4262,1041.5091500467674
4261,1041.5091500467674
4260,1041.5192500855287
4259,1041.6452191365108
4258,1041.664397712736
4257,1041.7864001491964
4256,1041.92218429955
4255,1042.0580499038851
4254,1042.1871378206947
4253,1042.3094308803904
4252,1042.3094308803904
4251,1042.3094308803904
4250,1042.5576042016205
4249,1042.9370569600833
4248,1042.9370569600833
4247,1042.9370569600833
4246,1043.0947999626037
4245,1043.1930252507805
4244,1043.1930252507805
4243,1043.3741271900894
4242,1043.3899765782955
4241,1043.4139533932805
4240,1043.6662119145822
4239,1043.673748314804
4238,1043.6835858110455
4237,1044.4220321178075
4236,1044.5695681479394
4235,1044.5695681479394
4234,1044.5695681479394
4233,1044.5695681479394
4232,1044.5695681479394
4231,1044.6475078313695
4230,1044.7842799363898
4229,1044.9389239448842
4228,1044.9514888356553
4227,1044.9514888356553
4226,1045.0917450184643
4225,1045.5517750138397
4224,1045.617052327283
4223,1045.784938224686
4222,1045.788121348539
4221,1045.8842950956696
4220,1045.8888727997714
4219,1045.9137868526534
4218,1046.0570361934472
4217,1046.1622293124392
4216,1046.2937944416067
4215,1047.1991914807188
4214,1047.1991914807188
4213,1047.3258962877276
4212,1047.6241294914232
4211,1047.696502539188
4210,1047.7244590560679
4209,1047.7274796565996
4208,1047.737580030937
4207,1048.2869141705226
4206,1048.2940418846556
4205,1048.3255077401489
4204,1048.3277433025053
4203,1048.5861646317542
4202,1048.5871369591916
4201,1048.6415069760683
4200,1048.7334470591509
4199,1049.0253306822078
4198,1049.1629310435162
4197,1049.1812631727971
4196,1049.3584366423202
4195,1049.3755194586213
4194,1049.4281138606095
4193,1049.5300575770266
4192,1049.5409044547769
4191,1049.54205190435
4190,1049.6746373345127
4189,1049.9413723475918
4188,1049.9413723475918
4187,1049.9413723475918
4186,1049.9741253688794
4185,1050.0383264363331
4184,1050.1535377760522
4183,1050.5123235876829
4182,1050.7428639642324
4181,1050.7428639642324
4180,1050.857753850844
4179,1050.8756018787274
4178,1051.115016312357
4177,1051.198502683544
4176,1051.2334097464834
4175,1051.2799451532119
4174,1051.290513564267
4173,1051.3825050440178
4172,1051.3825050440178
4171,1051.4722764698126
4170,1051.4722764698126
4169,1051.866141381222
4168,1052.297653070245
4167,1052.305554801754
4166,1052.7937334320106
4165,1052.794519322857
4164,1052.7999899440454
4163,1053.3108637008174
4162,1053.3278610609802
4161,1053.3687712766582
4160,1053.3687712766582
4159,1053.4047719594387
4158,1053.455873983818
4157,1053.6106751258426
4156,1053.658176127253
4155,1053.670908403267
4154,1053.6747136315514
4153,1053.6747136315514
4152,1054.014772596665
4151,1054.1234699672964
4150,1054.151022144099
4149,1054.1552623179039
4148,1054.342399240177
4147,1054.342399240177
4146,1054.4235459138056
4145,1054.7637919397278
4144,1054.7890863803518
4143,1055.3012898014858
4142,1055.3012898014858
4141,1055.4379032866111
4140,1055.451226421916
4139,1055.4886042096211
4138,1055.6009796701255
4137,1055.735506892637
4136,1055.735506892637
4135,1055.8043682249834
4134,1055.8043682249834
4133,1055.9224014564904
4132,1055.9539182407682
4131,1055.9611705910404
4130,1056.5416402822534
4129,1056.8017519010434
4128,1056.8046964651003
4127,1056.847767993315
4126,1056.909969374298
4125,1056.9628157516167
4124,1056.9628157516167
4123,1056.9628157516167
4122,1057.007380229803
4121,1057.0078005748155
4120,1057.0078005748155
4119,1057.0519955256557
4118,1057.488498065963
4117,1057.5178370741685
4116,1057.553894991813
4115,1057.6251111541437
4114,1057.83949424914
4113,1057.9634343409666
4112,1058.1734347476358
4111,1058.233986126193
4110,1058.233986126193
4109,1058.380840319882
4108,1058.4288258523354
4107,1058.4288258523354
4106,1058.567410852303
4105,1058.5705444611187
4104,1058.6525291983066
4103,1058.6746328388203
4102,1058.7328909445712
4101,1058.7331591125778
4100,1058.7435756786783
4099,1058.7522080389685
4098,1058.9366441847621
4097,1058.9883949641633
