Remaining Edges,Average Shortest Path
4836,1307.3868373049302
4835,1307.4032344077145
4834,1307.4038519834007
4833,1307.5604884063323
4832,1307.6340127890712
4831,1307.6340127890712
4830,1307.8359550124087
4829,1307.9913321780682
4828,1308.0503029011688
4827,1308.0503029011688
4826,1308.0503029011688
4825,1308.0503029011688
4824,1308.0503029011688
4823,1308.0503029011688
4822,1308.0503029011688
4821,1308.0608066129503
4820,1308.061346757599
4819,1308.0846661045118
4818,1308.0924903551133
4817,1308.2325158560384
4816,1308.328112489701
4815,1308.328112489701
4814,1308.6670080296458
4813,1308.6670080296458
4812,1308.6670080296458
4811,1308.680992653615
4810,1308.8168513440285
4809,1309.1817752669176
4808,1309.1817752669176
4807,1309.5592540399941
4806,1309.5592540399941
4805,1309.5592540399941
4804,1309.7151362541263
4803,1309.7151362541263
4802,1309.731674835502
4801,1309.735123216594
4800,1309.980741980198
4799,1309.9899891827397
4798,1309.9899891827397
4797,1309.9899891827397
4796,1310.0158908329552
4795,1310.0295942387581
4794,1310.0968466381164
4793,1310.106857897205
4792,1310.106857897205
4791,1310.2615350464719
4790,1310.2731114274593
4789,1310.2873857434142
4788,1310.6876011016031
4787,1311.0936762782858
4786,1311.531609716542
4785,1311.851357939138
4784,1311.851357939138
4783,1311.851357939138
4782,1311.9185185022907
4781,1311.9185185022907
4780,1311.9185185022907
4779,1311.9185185022907
4778,1312.1084122840025
4777,1312.1084122840025
4776,1312.1098938672062
4775,1312.1098938672062
4774,1312.6250025861243
4773,1312.7238243243662
4772,1312.9276872521677
4771,1312.9740690835615
4770,1313.129679509035
4769,1313.186439624933
4768,1313.195591222411
4767,1313.195591222411
4766,1313.230962891157
4765,1313.662705287768
4764,1313.6961393266963
4763,1314.0416497409046
4762,1314.0416497409046
4761,1314.1106873784465
4760,1314.17149228313
4759,1314.17149228313
4758,1314.17149228313
4757,1314.2085123739641
4756,1314.2932291570057
4755,1314.2932291570057
4754,1314.2932291570057
4753,1314.371918609427
4752,1314.3844574023058
4751,1314.521453971355
4750,1315.1666925745021
4749,1315.170703224812
4748,1315.2138615788524
4747,1315.3755779129176
4746,1315.8055250567195
4745,1315.8062910329386
4744,1316.125330867436
4743,1316.2049088091017
4742,1316.5843100166921
4741,1316.5843100166921
4740,1316.5889485470107
4739,1316.6376855010558
4738,1316.6784940494467
4737,1317.0561914477612
4736,1317.0584383993662
4735,1317.0584383993662
4734,1317.0584383993662
4733,1317.1264674683673
4732,1317.1907474061175
4731,1317.3532712206345
4730,1317.3612527802568
4729,1317.3612527802568
4728,1317.3613091666975
4727,1317.412113967746
4726,1317.4247677088954
4725,1317.5216920040361
4724,1317.69950971066
4723,1317.9817196372721
4722,1318.0800607729016
4721,1318.0800607729016
4720,1318.2684146596744
4719,1318.7412368515093
4718,1319.2372993821873
4717,1319.324425685294
4716,1319.5180821628742
4715,1319.5212048296223
4714,1319.52523466909
4713,1320.083175988368
4712,1320.1590525768377
4711,1320.3077394934764
4710,1320.5228604692606
4709,1320.649429384421
4708,1320.6870184424226
4707,1320.6870184424226
4706,1320.6884588281532
4705,1320.8820916752823
4704,1320.8921823979047
4703,1320.9873370181613
4702,1321.257296474264
4701,1321.267708390539
4700,1321.267708390539
4699,1321.9780158121687
4698,1322.2228867714236
4697,1322.3303154207479
4696,1322.3456297942923
4695,1322.8031458551318
4694,1323.2693048234428
4693,1323.2693048234428
4692,1323.375854339955
4691,1323.375854339955
4690,1323.375854339955
4689,1323.6392187548656
4688,1323.6392187548656
4687,1323.7175332040588
4686,1324.6221045537418
4685,1324.6221045537418
4684,1325.225565461946
4683,1325.3398757396403
4682,1326.25049672165
4681,1326.3061420382182
4680,1326.308093632277
4679,1326.3550560088665
4678,1326.3550560088665
4677,1326.3550560088665
4676,1326.3550560088665
4675,1326.4117484354301
4674,1326.8316850084618
4673,1326.8316850084618
4672,1327.07149289874
4671,1327.1056916773196
4670,1327.1121779153805
4669,1327.2657226102144
4668,1327.6611534216358
4667,1327.7029049112684
4666,1327.857922737911
4665,1327.857922737911
4664,1327.857922737911
4663,1327.857922737911
4662,1327.857922737911
4661,1327.9409682432672
4660,1327.9576442429416
4659,1328.0875452097569
4658,1328.249594363885
4657,1328.2855036721683
4656,1328.373714032002
4655,1328.47161187707
4654,1328.4986085293642
4653,1328.6160970448154
4652,1328.6241907788758
4651,1328.6286292544094
4650,1328.6445661590624
4649,1329.2989332628877
4648,1329.2989332628877
4647,1329.4267223319127
4646,1329.4267223319127
4645,1329.4384086544057
4644,1329.442350182554
4643,1329.4907090530164
4642,1329.8105216105605
4641,1329.8509141126385
4640,1329.8546579642277
4639,1330.1101456367228
4638,1330.1646279127342
4637,1330.8031692258587
4636,1330.8031692258587
4635,1330.8340488672518
4634,1330.8611812791755
4633,1330.8611812791755
4632,1331.296266678795
4631,1331.349097951561
4630,1331.4635885323319
4629,1332.0076845309886
4628,1332.0972971204053
4627,1332.0972971204053
4626,1332.2783025027745
4625,1332.2856552708524
4624,1332.8085065303767
4623,1332.814270753286
4622,1332.8955102775053
4621,1332.913992107022
4620,1332.913992107022
4619,1332.913992107022
4618,1333.7628787897897
4617,1333.7628787897897
4616,1334.2465225678138
4615,1334.2473216680087
4614,1334.2498328709867
4613,1334.4183975244648
4612,1335.4124449856579
4611,1335.4605009483007
4610,1335.4605009483007
4609,1335.4763969860774
4608,1335.4763969860774
4607,1335.4844012524293
4606,1335.5228586067287
4605,1335.5230233966215
4604,1335.5230233966215
4603,1335.5230233966215
4602,1336.127314341339
4601,1336.1278797130826
4600,1336.1278797130826
4599,1336.3889959213475
4598,1336.508864131524
4597,1337.0081063024024
4596,1337.1761154612343
4595,1337.1761154612343
4594,1337.800706691525
4593,1337.8690651350764
4592,1338.3063537796525
4591,1338.3063537796525
4590,1338.3067304422646
4589,1338.959916189906
4588,1339.28252246983
4587,1339.5461044280974
4586,1339.5844108866813
4585,1339.6246799938042
4584,1339.6246799938042
4583,1339.7153688896742
4582,1339.744144009623
4581,1340.3610699877297
4580,1340.3610699877297
4579,1340.3610699877297
4578,1340.4864299263343
4577,1340.9485764276424
4576,1341.610838068951
4575,1341.7449856974486
4574,1341.7521312639053
4573,1341.7521312639053
4572,1341.7623658987736
4571,1341.7623658987736
4570,1341.8937711173912
4569,1341.9287959352944
4568,1342.0021569200983
4567,1342.4395628639484
4566,1342.4395628639484
4565,1342.7384187126224
4564,1343.651961422874
4563,1343.6975689539784
4562,1344.0173944563844
4561,1344.033138340274
4560,1344.0345135874952
4559,1344.0701230295078
4558,1344.2579787924735
4557,1344.2579787924735
4556,1344.2904163567655
4555,1344.2904163567655
4554,1344.7328638494719
4553,1344.753772879599
4552,1344.7544518589298
4551,1344.9768853307178
4550,1344.9775947119706
4549,1345.0086161669033
4548,1345.028362039186
4547,1345.1066768057453
4546,1345.3493110167938
4545,1345.4453080496744
