source,target,WEIGHT
0,18,1572
0,65,824
0,93,779.5
0,149,1500
0,224,805
0,239,1597
0,281,1585
1,87,338.8
2,18,884.5
2,20,1537
2,51,936
2,81,460.25
2,86,436.25
2,87,304
2,143,841
2,150,604
2,162,1668
2,168,813.5
2,170,367.6
2,190,1545
2,219,1588
2,224,813.5
2,231,1460
2,236,361.8
2,270,1555
2,271,1539
2,280,1631
2,282,1590
2,291,817
3,214,784.5
4,18,775.5
5,87,409.25
6,86,1599
6,170,1543
6,236,1563
6,282,787
7,115,1596
7,191,858
7,202,1460
7,217,1535
7,230,1583
7,268,882
7,310,1588
8,18,815.5
8,65,1555
8,87,799.5
8,150,1500
9,18,413
9,65,416
9,84,1525
10,18,876
10,51,560
10,65,610
10,84,807.5
10,93,835
10,108,772
10,149,808
10,191,499.25
10,194,1460
10,202,1645
10,224,1460
10,235,793.5
10,310,906
11,224,740
12,86,1460
13,280,766
14,81,794.5
14,86,1516
14,87,788
14,150,827.5
14,168,1569
15,93,1506
16,235,1511
17,18,1619
17,20,1570
17,86,275.1666667
17,87,369
17,150,412.25
17,170,285.2857143
17,224,281.3333333
17,236,1460
17,282,796
17,294,1559
18,0,1542
18,2,931.5
18,4,772
18,8,829
18,9,409.5
18,10,842
18,17,1688
18,19,1561
18,20,366.6666667
18,21,521
18,25,483.75
18,30,335.8
18,37,819
18,38,301.1666667
18,40,233
18,42,784
18,47,574.3333333
18,48,1571
18,49,827.5
18,51,279.625
18,52,1679
18,53,416.5
18,57,517
18,58,809
18,59,339.6
18,60,1564
18,63,333.8333333
18,65,185.75
18,66,359
18,75,1519
18,76,763
18,77,421.5
18,80,555.3333333
18,81,340.1428571
18,82,560.3333333
18,84,203.0769231
18,86,311.2307692
18,87,233.1538462
18,88,775.5
18,92,849
18,93,236.9
18,98,424.5
18,102,934
18,106,797.5
18,108,218.4
18,109,362
18,112,791.5
18,115,167.952381
18,118,1595
18,120,818.5
18,127,534
18,128,802.5
18,129,1559
18,132,585.3333333
18,133,429.75
18,134,286.1666667
18,136,788
18,138,1658
18,139,785.5
18,143,338.4285714
18,144,573.3333333
18,146,522.6666667
18,149,305.2857143
18,150,241.3333333
18,151,863
18,153,557.3333333
18,155,358.4
18,157,1565
18,159,1680
18,160,367
18,161,263.5714286
18,162,326.5714286
18,168,401.4545455
18,170,390.25
18,177,551
18,178,824
18,179,205.4375
18,181,457.25
18,190,331.3333333
18,191,155.6315789
18,193,821
18,194,380
18,196,318
18,199,533
18,202,171.6842105
18,203,354
18,205,567
18,206,785.5
18,207,818.5
18,208,560
18,212,846
18,214,305
18,215,261.5
18,216,1670
18,217,414.25
18,218,798.5
18,221,503.5
18,222,501
18,223,881
18,224,197.6363636
18,225,431.25
18,230,242.4444444
18,231,884
18,235,231.9090909
18,236,461.1428571
18,241,363.4
18,243,356.8
18,251,843
18,253,1573
18,257,256.375
18,260,312.8333333
18,263,1751
18,264,791
18,265,783
18,268,234.7
18,270,579
18,271,443.8
18,272,346.6
18,274,828.5
18,279,348.6
18,280,460.75
18,282,599.4
18,283,834
18,287,591
18,288,1753
18,290,560.75
18,291,422.375
18,293,1026.5
18,294,1006.5
18,297,372.8
18,299,334.8333333
18,301,685.3333333
18,302,1656
18,307,831.5
18,308,543.3333333
18,310,172.6
18,311,539
18,312,1544
18,313,611
18,314,970
18,319,411.25
18,323,1498
18,324,425.25
18,325,835.5
19,18,1575
19,23,1663
19,38,1550
19,65,1573
19,86,1621
19,93,788
19,214,761.5
19,224,1460
20,2,1552
20,17,1620
20,18,339.6666667
20,38,396.2
20,40,681
20,50,1645
20,51,659.6666667
20,65,502.5
20,77,1568
20,81,414.25
20,84,1604
20,86,267.3
20,87,241
20,93,865
20,102,392
20,108,448
20,115,633
20,143,533
20,149,886
20,150,294.1666667
20,155,841.5
20,161,1575
20,162,455.4
20,168,355.25
20,170,289.3333333
20,171,1515
20,180,915.5
20,190,578.6666667
20,191,251.7272727
20,202,346.6666667
20,214,854
20,215,440
20,219,1668
20,221,789.5
20,224,315.1666667
20,231,1700
20,235,904.5
20,236,359.5714286
20,248,1635
20,257,873
20,263,1667
20,268,867
20,270,554.75
20,280,738.6666667
20,282,591.75
20,288,842.5
20,290,1702
20,291,525.25
20,293,1670
20,294,1642
20,297,852.5
20,299,826.5
20,310,420.6
21,18,537.6666667
21,65,285.8333333
21,87,1611
21,115,834
21,149,803
21,224,1460
21,235,1532
21,281,804.5
22,65,473.75
22,149,1500
22,224,806.5
23,19,1614
23,33,1606
23,110,1626
23,118,1602
23,120,1621
23,123,1602
23,152,1571
23,214,1605
23,222,1598
23,237,1599
23,254,1567
23,258,1611
23,298,1618
23,325,1573
24,93,765
24,224,523.3333333
25,18,512.75
25,38,1610
25,51,536.3333333
25,65,608.6666667
25,84,544.3333333
25,86,1010.5
25,93,792.5
25,115,608.6666667
25,149,570.3333333
25,150,1697
25,168,1809
25,191,310.1428571
25,194,1460
25,202,439
25,214,925
25,224,543.6666667
25,230,1619
25,235,793.5
25,268,660.3333333
25,282,1828
25,290,930
25,310,547.75
26,86,1499
27,86,859
27,87,891
27,236,1527
27,282,1505
28,93,1541
29,65,1606
29,84,841.5
29,149,1567
29,235,836
30,18,340.8
30,51,1551
30,65,318.3333333
30,81,836
30,84,823.5
30,86,611.6666667
30,87,838.5
30,143,1551
30,150,1573
30,168,1698
30,179,1568
30,191,810
30,202,830
30,224,1567
30,235,1563
30,310,1524
31,86,1573
31,170,1511
31,282,1501
32,86,811.5
32,87,1609
32,214,1554
32,236,1460
32,280,872
32,291,798
33,23,1584
33,86,829.5
33,87,808.5
33,214,561.6666667
33,236,1615
34,214,760
35,168,862.5
35,219,843.5
35,280,403.75
36,232,1584
37,18,823.5
37,87,1602
37,224,740
38,18,303
38,19,1535
38,20,438.6
38,25,1564
38,40,492
38,50,1717
38,51,573.3333333
38,59,797
38,60,1538
38,63,768.5
38,65,274.8571429
38,66,1512
38,81,416.8
38,84,300.5714286
38,86,386.7142857
38,87,340.5714286
38,93,442.5
38,98,800.5
38,108,410.8
38,115,368.5
38,143,618.6666667
38,149,812
38,150,375.5
38,157,1573
38,161,807
38,162,612.3333333
38,168,609
38,170,519.8333333
38,179,274.4444444
38,190,783.5
38,191,343.3333333
38,194,500
38,202,373.3333333
38,203,804.5
38,205,1552
38,214,598.3333333
38,215,816
38,217,798.5
38,219,1716
38,221,1569
38,224,178
38,225,1531
38,235,399.8
38,236,491.8
38,241,799.5
38,243,801.5
38,248,1711
38,257,801
38,268,1564
38,270,1000
38,271,881.5
38,272,1518
38,280,1014
38,282,1729
38,288,1746
38,290,1667
38,291,943
38,294,1710
38,297,829
38,299,1505
38,310,346.3333333
38,324,799
39,86,397
39,87,667
39,123,1518
39,150,1648
39,168,811.5
39,170,480
39,214,883.5
39,219,816
39,224,827
39,227,1536
39,231,563.3333333
39,236,468.5
39,248,1568
39,270,842
39,280,228.9090909
39,282,388.4
39,288,825
39,291,545
39,293,806
40,18,296.6
40,20,1006
40,29,1460
40,38,539
40,49,1460
40,51,382.6
40,52,1775
40,59,630.6666667
40,63,572.3333333
40,65,288.5555556
40,66,855
40,77,872.5
40,84,209.5384615
40,86,479.5
40,87,519
40,93,496.25
40,108,309.1666667
40,109,1653
40,115,278.2727273
40,138,1756
40,143,1715
40,149,579
40,150,625.5
40,155,880.5
40,161,649
40,162,224.3333333
40,168,842
40,170,496.9
40,179,332.2
40,191,279
40,194,1460
40,202,328.1818182
40,203,1621
40,214,471.25
40,215,1664
40,217,1574
40,224,223.0909091
40,230,443
40,231,1828
40,235,291.4285714
40,236,1081
40,241,593
40,248,1820
40,257,364.1666667
40,260,592
40,265,1530
40,268,404.7142857
40,270,1845
40,272,1598
