Remaining Edges,Average Shortest Path
4869,1291.671688590882
4868,1291.7661410025864
4867,1292.1450700757403
4866,1292.1450700757403
4865,1292.4514122296653
4864,1292.522386481058
4863,1292.8412292745556
4862,1292.8412292745556
4861,1293.601834901603
4860,1293.64609709513
4859,1293.64609709513
4858,1294.2967289593412
4857,1294.739376788612
4856,1294.8900136827915
4855,1294.9821235966501
4854,1294.9821235966501
4853,1294.9872414001545
4852,1295.0270214280322
4851,1295.0315672293577
4850,1295.099562905589
4849,1295.099562905589
4848,1295.099562905589
4847,1295.1093076881925
4846,1295.4347232049865
4845,1295.6112853234088
4844,1295.6815300605929
4843,1295.6815300605929
4842,1295.6825790703274
4841,1295.6825790703274
4840,1295.694197004714
4839,1295.7863860634543
4838,1295.7863860634543
4837,1295.7863860634543
4836,1295.84845559917
4835,1295.84845559917
4834,1295.84845559917
4833,1295.84845559917
4832,1296.7942403214088
4831,1296.930902771596
4830,1296.930902771596
4829,1297.000276150632
4828,1297.0451678845197
4827,1297.0559388641275
4826,1297.0559388641275
4825,1297.1420748219116
4824,1297.1527541921055
4823,1297.4774526623587
4822,1298.035840707309
4821,1298.1466182221843
4820,1298.1890027334675
4819,1298.19357564202
4818,1298.205226418233
4817,1298.2402779983017
4816,1298.2685402514496
4815,1298.2685402514496
4814,1298.282911815777
4813,1298.2906186865557
4812,1298.7841716846074
4811,1298.7971479751543
4810,1298.8352447893715
4809,1298.835819810188
4808,1299.3402521103983
4807,1299.3402521103983
4806,1299.7363006287094
4805,1299.7452850069617
4804,1299.8339111458683
4803,1299.892432679519
4802,1299.892432679519
4801,1299.9108029108825
4800,1300.0629167831723
4799,1301.1304139985793
4798,1301.293407130596
4797,1301.297048987229
4796,1301.300681771028
4795,1301.304225714801
4794,1301.3044569982876
4793,1301.3044569982876
4792,1301.4529925139834
4791,1302.4764462027404
4790,1303.078992046397
4789,1303.078992046397
4788,1303.2179750364016
4787,1303.218817702743
4786,1303.5249408485577
4785,1303.5249408485577
4784,1303.5798143817121
4783,1303.639914887133
4782,1303.687667224607
4781,1303.7114456475274
4780,1303.7114456475274
4779,1303.940367924689
4778,1304.0054834412615
4777,1304.0262408596852
4776,1304.0264317921722
4775,1304.062877050201
4774,1304.062877050201
4773,1305.243152580299
4772,1305.2484344376587
4771,1305.2484344376587
4770,1306.2131411637492
4769,1306.6809464982296
4768,1306.6809464982296
4767,1306.685975009497
4766,1306.7124442406998
4765,1306.7866589218243
4764,1306.7894002930288
4763,1306.7919050558055
4762,1307.3928907684403
4761,1307.6959509237397
4760,1307.7599419199626
4759,1307.835142008458
4758,1307.8542575716697
4757,1307.8648097367068
4756,1308.018354287074
4755,1308.0700039692367
4754,1308.23850507945
4753,1308.23850507945
4752,1308.25734309621
4751,1308.3611736308144
4750,1308.3611736308144
4749,1308.5687387313462
4748,1308.576543242235
4747,1308.7143327800904
4746,1308.8875026255182
4745,1308.8875026255182
4744,1309.1430068640018
4743,1309.1887121473303
4742,1309.2121940425193
4741,1309.2732100122391
4740,1309.3222901508595
4739,1309.4900539584926
4738,1309.5114712178402
4737,1309.5114712178402
4736,1309.5114712178402
4735,1309.5291711498699
4734,1309.5292069960312
4733,1309.5292069960312
4732,1309.5300974717857
4731,1309.5810076295575
4730,1309.5810076295575
4729,1309.5910710438711
4728,1309.7927441070678
4727,1309.9356350205107
4726,1309.9356350205107
4725,1309.9363796266935
4724,1309.9674861630563
4723,1309.9961931632354
4722,1309.9961931632354
4721,1310.3040323535554
4720,1310.3040323535554
4719,1310.3058854769342
4718,1310.3518391937796
4717,1310.429362622556
4716,1310.429362622556
4715,1310.5740838932181
4714,1310.5740838932181
4713,1310.5740838932181
4712,1310.9508592394996
4711,1311.2094167156054
4710,1311.2109539916894
4709,1312.1722786714652
4708,1312.1722786714652
4707,1312.1934964203067
4706,1312.253148195159
4705,1312.253148195159
4704,1312.253148195159
4703,1312.253148195159
4702,1312.253148195159
4701,1312.253148195159
4700,1312.3319924829075
4699,1312.5654418519666
4698,1312.821553461748
4697,1313.4188926830666
4696,1313.8562031912493
4695,1313.8982934605597
4694,1314.6147596888513
4693,1315.145255621486
4692,1315.145255621486
4691,1315.4014919848523
4690,1315.4418323462787
4689,1315.7626795061162
4688,1315.7626795061162
4687,1315.8707633732213
4686,1316.7983554214877
4685,1316.7983554214877
4684,1317.0376139459236
4683,1317.0379305016402
4682,1317.0793282539544
4681,1317.1506440433259
4680,1317.1849207633054
4679,1317.1849207633054
4678,1317.2281279039019
4677,1317.2695372137935
4676,1317.3362427762233
4675,1317.5051877093044
4674,1317.8262231716506
4673,1317.8262231716506
4672,1317.836306472036
4671,1317.9698909982721
4670,1318.119522522375
4669,1318.2619799306174
4668,1318.2619799306174
4667,1318.2619799306174
4666,1318.368479218169
4665,1318.4306157586052
4664,1318.4306157586052
4663,1318.459521669161
4662,1319.3471884813891
4661,1319.3471884813891
4660,1319.4175391604583
4659,1319.4761952702374
4658,1319.4761952702374
4657,1319.4761952702374
4656,1319.8008418497952
4655,1319.816311833899
4654,1319.823932756112
4653,1320.074770844539
4652,1320.076209704437
4651,1320.0772079509036
4650,1320.1089367489515
4649,1320.5209728122932
4648,1320.5209728122932
4647,1320.5225098155768
4646,1320.645750406496
4645,1320.6684259448855
4644,1320.6978019027797
4643,1320.79790159576
4642,1320.79790159576
4641,1320.8019294523065
4640,1320.8430219081101
4639,1320.883641285527
4638,1321.1860251835335
4637,1321.2181417822844
4636,1321.6653921953214
4635,1321.9029171588124
4634,1321.9371769382965
4633,1322.1987960168008
4632,1322.2490198589744
4631,1323.0397602350004
4630,1323.0416004759945
4629,1323.469425080725
4628,1323.5089271500092
4627,1324.0551562025898
4626,1324.0551562025898
4625,1324.0551562025898
4624,1324.1381739597764
4623,1324.1381739597764
4622,1324.1599255459103
4621,1324.1599255459103
4620,1324.1599255459103
4619,1324.3149635584148
4618,1324.746116650524
4617,1324.9156606269717
4616,1325.0025681958357
4615,1325.5199232244095
4614,1325.5222430345088
4613,1325.5222430345088
4612,1325.9710200846348
4611,1326.0482339306395
4610,1326.0482339306395
4609,1326.1304975262997
4608,1326.3043496001756
4607,1326.885467266577
4606,1326.885467266577
4605,1327.3521466453215
4604,1327.3829362066256
4603,1327.386140056546
4602,1327.4862604789284
4601,1327.5154029385928
4600,1327.6824060929928
4599,1327.8577944644398
4598,1327.8582792213747
4597,1327.9989212574171
4596,1328.191076104625
4595,1328.191076104625
4594,1328.8650226737082
4593,1328.9088279069974
4592,1328.9456533807565
4591,1330.4497621844916
4590,1330.4497621844916
4589,1330.557029782371
4588,1330.557029782371
4587,1330.557029782371
4586,1330.557029782371
4585,1330.9537190252877
4584,1331.4731751917484
4583,1331.4743574066465
4582,1331.6651429279866
4581,1331.6676114073543
4580,1332.5929401580513
4579,1332.833116073906
4578,1332.9009157952205
4577,1332.901721434697
4576,1333.0824133348503
4575,1333.5086806632871
4574,1333.64133359668
4573,1333.64133359668
4572,1334.6178610489424
4571,1334.6376750121644
4570,1334.6864237853633
4569,1334.9688588213003
4568,1335.0850407048404
4567,1335.0885665004562
4566,1335.3282456406284
4565,1335.33351556037
4564,1335.33351556037
4563,1335.4163987179534
4562,1335.4890946598714
4561,1335.6561198501638
4560,1335.9452537602274
4559,1335.9456332565285
4558,1335.9456332565285
4557,1336.0602003902022
4556,1336.0602003902022
4555,1336.0742334748704
4554,1336.2731690367214
4553,1336.3946128005598
4552,1336.4782735765116
4551,1336.988245635441
4550,1337.0301834948204
4549,1337.4504259693397
4548,1337.5048475185274
4547,1337.6776510890961
4546,1337.7468021179286
4545,1337.7468021179286
