SOURCE,TARGET,WEIGHT
ABE,ATL,1572.0
ABE,CLT,824.0
ABE,DTW,779.5
ABE,IAD,1500.0
ABE,ORD,805.0
ABE,PIE,1597.0
ABE,SFB,1585.0
ABI,DFW,338.8
ABQ,ATL,884.5
ABQ,AUS,1537.0
ABQ,BWI,936.0
ABQ,DAL,460.25
ABQ,DEN,436.25
ABQ,DFW,304.0
ABQ,HOU,841.0
ABQ,IAH,604.0
ABQ,JFK,1668.0
ABQ,LAS,813.5
ABQ,LAX,367.6
ABQ,MCI,1545.0
ABQ,OAK,1588.0
ABQ,ORD,813.5
ABQ,PDX,1460.0
ABQ,PHX,361.8
ABQ,SAN,1555.0
ABQ,SAT,1539.0
ABQ,SEA,1631.0
ABQ,SFO,1590.0
ABQ,SLC,817.0
ABR,MSP,784.5
ABY,ATL,775.5
ACT,DFW,409.25
ACV,DEN,1599.0
ACV,LAX,1543.0
ACV,PHX,1563.0
ACV,SFO,787.0
ACY,FLL,1596.0
ACY,MCO,858.0
ACY,MIA,1460.0
ACY,MYR,1535.0
ACY,PBI,1583.0
ACY,RSW,882.0
ACY,TPA,1588.0
AEX,ATL,815.5
AEX,CLT,1555.0
AEX,DFW,799.5
AEX,IAH,1500.0
AGS,ATL,413.0
AGS,CLT,416.0
AGS,DCA,1525.0
ALB,ATL,876.0
ALB,BWI,560.0
ALB,CLT,610.0
ALB,DCA,807.5
ALB,DTW,835.0
ALB,EWR,772.0
ALB,IAD,808.0
ALB,MCO,499.25
ALB,MDW,1460.0
ALB,MIA,1645.0
ALB,ORD,1460.0
ALB,PHL,793.5
ALB,TPA,906.0
ALO,ORD,740.0
ALS,DEN,1460.0
ALW,SEA,766.0
AMA,DAL,794.5
AMA,DEN,1516.0
AMA,DFW,788.0
AMA,IAH,827.5
AMA,LAS,1569.0
APN,DTW,1506.0
ART,PHL,1511.0
ASE,ATL,1619.0
ASE,AUS,1570.0
ASE,DEN,275.16666666666663
ASE,DFW,369.0
ASE,IAH,412.25
ASE,LAX,285.2857142857143
ASE,ORD,281.3333333333333
ASE,PHX,1460.0
ASE,SFO,796.0
ASE,SNA,1559.0
ATL,ABE,1542.0
ATL,ABQ,931.5
ATL,ABY,772.0
ATL,AEX,829.0
ATL,AGS,409.5
ATL,ALB,842.0
ATL,ASE,1688.0
ATL,ATW,1561.0
ATL,AUS,366.6666666666667
ATL,AVL,521.0
ATL,BDL,483.75
ATL,BHM,335.8
ATL,BMI,819.0
ATL,BNA,301.16666666666663
ATL,BOS,233.0
ATL,BQK,784.0
ATL,BTR,574.3333333333334
ATL,BTV,1571.0
ATL,BUF,827.5
ATL,BWI,279.625
ATL,BZN,1679.0
ATL,CAE,416.5
ATL,CHA,517.0
ATL,CHO,809.0
ATL,CHS,339.6
ATL,CID,1564.0
ATL,CLE,333.8333333333333
ATL,CLT,185.75
ATL,CMH,359.0
ATL,CRW,1519.0
ATL,CSG,763.0
ATL,CVG,421.5
ATL,DAB,555.3333333333334
ATL,DAL,340.1428571428572
ATL,DAY,560.3333333333334
ATL,DCA,203.0769230769231
ATL,DEN,311.2307692307692
ATL,DFW,233.1538461538462
ATL,DHN,775.5
ATL,DSM,849.0
ATL,DTW,236.9
ATL,ECP,424.5
ATL,ELP,934.0
ATL,EVV,797.5
ATL,EWR,218.4
ATL,EYW,362.0
ATL,FAY,791.5
ATL,FLL,167.95238095238096
ATL,FSD,1595.0
ATL,FWA,818.5
ATL,GNV,534.0
ATL,GPT,802.5
ATL,GRB,1559.0
ATL,GRR,585.3333333333334
ATL,GSO,429.75
ATL,GSP,286.1666666666667
ATL,GTR,788.0
ATL,HDN,1658.0
ATL,HHH,785.5
ATL,HOU,338.42857142857144
ATL,HPN,573.3333333333334
ATL,HSV,522.6666666666667
ATL,IAD,305.2857142857143
ATL,IAH,241.3333333333333
ATL,ICT,863.0
ATL,ILM,557.3333333333334
ATL,IND,358.4
ATL,ISP,1565.0
ATL,JAC,1680.0
ATL,JAN,367.0
ATL,JAX,263.57142857142856
ATL,JFK,326.57142857142856
ATL,LAS,401.45454545454544
ATL,LAX,390.25
ATL,LEX,551.0
ATL,LFT,824.0
ATL,LGA,205.4375
ATL,LIT,457.25
ATL,MCI,331.3333333333333
ATL,MCO,155.6315789473684
ATL,MDT,821.0
ATL,MDW,380.0
ATL,MEM,318.0
ATL,MGM,533.0
ATL,MIA,171.68421052631578
ATL,MKE,354.0
ATL,MLB,567.0
ATL,MLI,785.5
ATL,MLU,818.5
ATL,MOB,560.0
ATL,MSN,846.0
ATL,MSP,305.0
ATL,MSY,261.5
ATL,MTJ,1670.0
ATL,MYR,414.25
ATL,OAJ,798.5
ATL,OKC,503.5
ATL,OMA,501.0
ATL,ONT,881.0
ATL,ORD,197.63636363636363
ATL,ORF,431.25
ATL,PBI,242.44444444444449
ATL,PDX,884.0
ATL,PHL,231.9090909090909
ATL,PHX,461.1428571428572
ATL,PIT,363.4
ATL,PNS,356.8
ATL,PVD,843.0
ATL,PWM,1573.0
ATL,RDU,256.375
ATL,RIC,312.8333333333333
ATL,RNO,1751.0
ATL,ROA,791.0
ATL,ROC,783.0
ATL,RSW,234.7
ATL,SAN,579.0
ATL,SAT,443.8
ATL,SAV,346.6
ATL,SBN,828.5
ATL,SDF,348.6
ATL,SEA,460.75
ATL,SFO,599.4
ATL,SGF,834.0
ATL,SHV,591.0
ATL,SJC,1753.0
ATL,SJU,560.75
ATL,SLC,422.375
ATL,SMF,1026.5
ATL,SNA,1006.5
ATL,SRQ,372.8
ATL,STL,334.8333333333333
ATL,STT,685.3333333333333
ATL,STX,1656.0
ATL,SYR,831.5
ATL,TLH,543.3333333333334
ATL,TPA,172.6
ATL,TRI,539.0
ATL,TTN,1544.0
ATL,TUL,611.0
ATL,TUS,970.0
ATL,TYS,411.25
ATL,VLD,1498.0
ATL,VPS,425.25
ATL,XNA,835.5
ATW,ATL,1575.0
ATW,AZA,1663.0
ATW,BNA,1550.0
ATW,CLT,1573.0
ATW,DEN,1621.0
ATW,DTW,788.0
ATW,MSP,761.5
ATW,ORD,1460.0
AUS,ABQ,1552.0
AUS,ASE,1620.0
AUS,ATL,339.6666666666667
AUS,BNA,396.2
AUS,BOS,681.0
AUS,BUR,1645.0
AUS,BWI,659.6666666666666
AUS,CLT,502.5
AUS,CVG,1568.0
AUS,DAL,414.25
AUS,DCA,1604.0
AUS,DEN,267.3
AUS,DFW,241.0
AUS,DTW,865.0
AUS,ELP,392.0
AUS,EWR,448.0
AUS,FLL,633.0
AUS,HOU,533.0
AUS,IAD,886.0
AUS,IAH,294.1666666666667
AUS,IND,841.5
AUS,JAX,1575.0
AUS,JFK,455.4
AUS,LAS,355.25
AUS,LAX,289.33333333333337
AUS,LBB,1515.0
AUS,LGB,915.5
AUS,MCI,578.6666666666666
AUS,MCO,251.7272727272727
AUS,MIA,346.6666666666667
AUS,MSP,854.0
AUS,MSY,440.0
AUS,OAK,1668.0
AUS,OKC,789.5
AUS,ORD,315.16666666666663
AUS,PDX,1700.0
AUS,PHL,904.5
AUS,PHX,359.57142857142856
AUS,PSP,1635.0
AUS,RDU,873.0
AUS,RNO,1667.0
AUS,RSW,867.0
AUS,SAN,554.75
AUS,SEA,738.6666666666666
AUS,SFO,591.75
AUS,SJC,842.5
AUS,SJU,1702.0
AUS,SLC,525.25
AUS,SMF,1670.0
AUS,SNA,1642.0
AUS,SRQ,852.5
AUS,STL,826.5
AUS,TPA,420.6
AVL,ATL,537.6666666666666
AVL,CLT,285.8333333333333
AVL,DFW,1611.0
AVL,FLL,834.0
AVL,IAD,803.0
AVL,ORD,1460.0
AVL,PHL,1532.0
AVL,SFB,804.5
AVP,CLT,473.75
AVP,IAD,1500.0
AVP,ORD,806.5
AZA,ATW,1614.0
AZA,BIS,1606.0
AZA,FAR,1626.0
AZA,FSD,1602.0
AZA,FWA,1621.0
AZA,GEG,1602.0
AZA,IDA,1571.0
AZA,MSP,1605.0
AZA,OMA,1598.0
AZA,PIA,1599.0
AZA,RAP,1567.0
AZA,RFD,1611.0
AZA,STC,1618.0
AZA,XNA,1573.0
AZO,DTW,765.0
AZO,ORD,523.3333333333333
BDL,ATL,512.75
BDL,BNA,1610.0
BDL,BWI,536.3333333333334
BDL,CLT,608.6666666666667
BDL,DCA,544.3333333333334
BDL,DEN,1010.5
